OBJECTID,name,tile,nd_value,resolution,creationdate,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,release_version,num_components,Shape__Area,Shape__Length,x,y
5959,19_15_1_2_2m_v3.0,19_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/19_15/19_15_1_2_2m_v3.0.tar.gz,DEM,0.24748576,ICESat,966,-0.001,1,2,7,18,2500000000,200000,,
5958,19_15_2_1_2m_v3.0,19_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/19_15/19_15_2_1_2m_v3.0.tar.gz,DEM,0.01618723,ICESat,966,-0.001,1,2,7,18,2500000000,200000,,
5957,19_15_2_2_2m_v3.0,19_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/19_15/19_15_2_2_2m_v3.0.tar.gz,DEM,0.90678298,ICESat,966,-0.001,1,2,7,18,2500000000,200000,,
6721,19_16_1_2_2m_v3.0,19_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/19_16/19_16_1_2_2m_v3.0.tar.gz,DEM,0.43697452,ICESat,782,-0.001,1,2,7,12,2500000000,200000,,
6720,19_16_2_2_2m_v3.0,19_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/19_16/19_16_2_2_2m_v3.0.tar.gz,DEM,0.17325868,ICESat,782,-0.001,1,2,7,12,2500000000,200000,,
765,20_14_1_2_2m_v3.0,20_14,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_14/20_14_1_2_2m_v3.0.tar.gz,DEM,0.01199556,ICESat,894,-0.001,1,2,7,21,2500000000,200000,,
763,20_14_2_1_2m_v3.0,20_14,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_14/20_14_2_1_2m_v3.0.tar.gz,DEM,0.09844731,ICESat,894,-0.001,1,2,7,21,2500000000,200000,,
764,20_14_2_2_2m_v3.0,20_14,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_14/20_14_2_2_2m_v3.0.tar.gz,DEM,0.77035927,ICESat,894,-0.001,1,2,7,21,2500000000,200000,,
3743,20_15_1_1_2m_v3.0,20_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_15/20_15_1_1_2m_v3.0.tar.gz,DEM,0.90057808,ICESat,993,0,1,2,7,34,2500000000,200000,,
3744,20_15_1_2_2m_v3.0,20_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_15/20_15_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,993,0,1,2,7,34,2500000000,200000,,
3742,20_15_2_1_2m_v3.0,20_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_15/20_15_2_1_2m_v3.0.tar.gz,DEM,1,ICESat,993,0,1,2,7,34,2500000000,200000,,
3745,20_15_2_2_2m_v3.0,20_15,-9999,2,"July 23, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_15/20_15_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,993,0,1,2,7,34,2500000000,200000,,
2160,20_16_1_1_2m_v3.0,20_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_16/20_16_1_1_2m_v3.0.tar.gz,DEM,1,ICESat,910,0,1,2,7,32,2500000000,200000,,
2163,20_16_1_2_2m_v3.0,20_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_16/20_16_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,910,0,1,2,7,32,2500000000,200000,,
2162,20_16_2_1_2m_v3.0,20_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_16/20_16_2_1_2m_v3.0.tar.gz,DEM,0.99839463,ICESat,910,0,1,2,7,32,2500000000,200000,,
2161,20_16_2_2_2m_v3.0,20_16,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_16/20_16_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,910,0,1,2,7,32,2500000000,200000,,
6354,20_17_1_1_2m_v3.0,20_17,-9999,2,"July 27, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_17/20_17_1_1_2m_v3.0.tar.gz,DEM,0.78164452,ICESat,894,0,1,2,7,33,2500000000,200000,,
6353,20_17_1_2_2m_v3.0,20_17,-9999,2,"July 27, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_17/20_17_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,894,0,1,2,7,33,2500000000,200000,,
6355,20_17_2_1_2m_v3.0,20_17,-9999,2,"July 27, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_17/20_17_2_1_2m_v3.0.tar.gz,DEM,0.7477562,ICESat,894,0,1,2,7,33,2500000000,200000,,
6352,20_17_2_2_2m_v3.0,20_17,-9999,2,"July 27, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_17/20_17_2_2_2m_v3.0.tar.gz,DEM,0.98873233,ICESat,894,0,1,2,7,33,2500000000,200000,,
7700,20_18_1_1_2m_v3.0,20_18,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_18/20_18_1_1_2m_v3.0.tar.gz,DEM,0.75665558,ICESat,961,0.006,1,2,7,25,2500000000,200000,,
7701,20_18_1_2_2m_v3.0,20_18,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_18/20_18_1_2_2m_v3.0.tar.gz,DEM,0.99820565,ICESat,961,0.006,1,2,7,25,2500000000,200000,,
7699,20_18_2_1_2m_v3.0,20_18,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_18/20_18_2_1_2m_v3.0.tar.gz,DEM,0.59957413,ICESat,961,0.006,1,2,7,25,2500000000,200000,,
7698,20_18_2_2_2m_v3.0,20_18,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_18/20_18_2_2_2m_v3.0.tar.gz,DEM,0.9947692,ICESat,961,0.006,1,2,7,25,2500000000,200000,,
2766,20_19_1_1_2m_v3.0,20_19,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_19/20_19_1_1_2m_v3.0.tar.gz,DEM,0.58826631,ICESat,986,0,1,2,7,31,2500000000,200000,,
2769,20_19_1_2_2m_v3.0,20_19,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_19/20_19_1_2_2m_v3.0.tar.gz,DEM,0.99790128,ICESat,986,0,1,2,7,31,2500000000,200000,,
2768,20_19_2_1_2m_v3.0,20_19,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_19/20_19_2_1_2m_v3.0.tar.gz,DEM,0.65282725,ICESat,986,0,1,2,7,31,2500000000,200000,,
2767,20_19_2_2_2m_v3.0,20_19,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_19/20_19_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,986,0,1,2,7,31,2500000000,200000,,
2941,20_20_1_1_2m_v3.0,20_20,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_20/20_20_1_1_2m_v3.0.tar.gz,DEM,0.08734484,ICESat,827,0.003,1,2,7,25,2500000000,200000,,
2943,20_20_1_2_2m_v3.0,20_20,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_20/20_20_1_2_2m_v3.0.tar.gz,DEM,0.99605928,ICESat,827,0.003,1,2,7,25,2500000000,200000,,
2944,20_20_2_1_2m_v3.0,20_20,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_20/20_20_2_1_2m_v3.0.tar.gz,DEM,0.1033968,ICESat,827,0.003,1,2,7,25,2500000000,200000,,
2942,20_20_2_2_2m_v3.0,20_20,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/20_20/20_20_2_2_2m_v3.0.tar.gz,DEM,0.98912558,ICESat,827,0.003,1,2,7,25,2500000000,200000,,
4680,21_13_1_2_2m_v3.0,21_13,-9999,2,"July 16, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/21_13/21_13_1_2_2m_v3.0.tar.gz,DEM,0.00967178,ICESat,523,-0.005,1,2,7,13,2500000000,200000,,
4679,21_13_2_2_2m_v3.0,21_13,-9999,2,"July 16, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/21_13/21_13_2_2_2m_v3.0.tar.gz,DEM,0.47406508,ICESat,523,-0.005,1,2,7,13,2500000000,200000,,
2551,21_14_1_1_2m_v3.0,21_14,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/21_14/21_14_1_1_2m_v3.0.tar.gz,DEM,0.5388211,ICESat,970,0.003,1,2,7,23,2500000000,200000,,
2552,21_14_1_2_2m_v3.0,21_14,-9999,2,"May 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/21_14/21_14_1_2_2m_v3.0.tar.gz,DEM,0.90862842,ICESat,970,0.003,1,2,7,23,2500000000,200000,,
